group_id,treatment,period,employer_id,employee_id,employee_rating,employee_avg_effort,employee_history,contract_type,contract_full,requested_effort,wage,actual_effort,rejected,employer_profit,employee_profit,effort_gap,effort_compliance,total_surplus,employee_share,employee_rating_num
1,base,3,6,1,MEDIUM,,"6,7",limited,0,5,22,6,0,2,16,1,1,18,0.8888888888888888,2.0
1,base,3,7,4,HIGH,,"7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,3,8,2,MEDIUM,,"5,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,3,9,5,MEDIUM,,"6,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,4,1,9,MEDIUM,,"7,7,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,4,2,3,LOW,,"4,5,5",full,1,7,25,6,0,5,19,-1,0,24,0.7916666666666666,1.0
1,base,4,3,5,MEDIUM,,"6,7,7",limited,0,5,20,6,0,4,14,1,1,18,0.7777777777777778,2.0
1,base,4,4,1,MEDIUM,,"6,7,6",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,4,5,8,MEDIUM,,"6,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,4,6,2,MEDIUM,,"5,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,4,7,6,HIGH,,"7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,4,8,4,HIGH,,"7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,4,9,7,MEDIUM,,"6,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,5,1,4,HIGH,,"7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,5,2,8,MEDIUM,,"6,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,5,3,7,MEDIUM,,"6,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,5,4,9,MEDIUM,,"7,7,6,6",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,5,5,2,MEDIUM,,"5,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,5,6,5,MEDIUM,,"6,7,7,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,5,7,3,MEDIUM,,"4,5,5,6",limited,0,5,22,6,0,2,16,1,1,18,0.8888888888888888,2.0
1,base,5,8,6,HIGH,,"7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,5,9,1,MEDIUM,,"6,7,6,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,6,1,7,MEDIUM,,"6,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,6,2,3,MEDIUM,,"4,5,5,6,6",full,1,7,25,6,0,5,19,-1,0,24,0.7916666666666666,2.0
1,base,6,3,9,MEDIUM,,"7,7,6,6,7",limited,0,5,21,7,0,7,14,2,1,21,0.6666666666666666,2.0
1,base,6,4,8,MEDIUM,,"6,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,6,5,4,HIGH,,"7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,6,6,6,HIGH,,"7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,6,7,2,MEDIUM,,"5,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,6,8,5,MEDIUM,,"6,7,7,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,6,9,1,MEDIUM,,"6,7,6,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,7,1,2,MEDIUM,,"5,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,7,2,5,MEDIUM,,"6,7,7,6,6,6",limited,0,5,20,6,0,4,14,1,1,18,0.7777777777777778,2.0
1,base,7,3,1,MEDIUM,,"6,7,6,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,7,4,3,MEDIUM,,"4,5,5,6,6,6",full,1,7,25,6,0,5,19,-1,0,24,0.7916666666666666,2.0
1,base,7,5,9,MEDIUM,,"7,7,6,6,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,7,6,7,MEDIUM,,"6,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,7,7,8,MEDIUM,,"6,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,7,8,4,HIGH,,"7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,7,9,6,HIGH,,"7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,8,1,9,MEDIUM,,"7,7,6,6,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,8,2,4,HIGH,,"7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,8,3,7,MEDIUM,,"6,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,8,4,2,MEDIUM,,"5,6,6,6,6,6,6",full,1,7,26,6,0,4,20,-1,0,24,0.8333333333333334,2.0
1,base,8,5,8,MEDIUM,,"6,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,8,6,3,MEDIUM,,"4,5,5,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,8,7,1,MEDIUM,,"6,7,6,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,8,8,5,MEDIUM,,"6,7,7,6,6,6,6",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,8,9,6,HIGH,,"7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,9,1,8,MEDIUM,,"6,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,9,2,6,HIGH,,"7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,9,3,2,MEDIUM,,"5,6,6,6,6,6,6,6",full,1,7,25,6,0,5,19,-1,0,24,0.7916666666666666,2.0
1,base,9,4,9,MEDIUM,,"7,7,6,6,7,7,7,7",full,1,7,26,6,0,4,20,-1,0,24,0.8333333333333334,2.0
1,base,9,5,3,MEDIUM,,"4,5,5,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,9,6,1,MEDIUM,,"6,7,6,7,7,7,7,7",limited,0,5,20,7,0,8,13,2,1,21,0.6190476190476191,2.0
1,base,9,7,5,MEDIUM,,"6,7,7,6,6,6,6,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,9,8,7,MEDIUM,,"6,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,9,9,4,HIGH,,"7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,10,1,3,MEDIUM,,"4,5,5,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,10,2,9,MEDIUM,,"7,7,6,6,7,7,7,7,6",limited,0,5,20,7,0,8,13,2,1,21,0.6190476190476191,2.0
1,base,10,3,8,MEDIUM,,"6,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,10,4,6,HIGH,,"7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,10,5,1,MEDIUM,,"6,7,6,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,10,6,4,HIGH,,"7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,10,7,2,MEDIUM,,"5,6,6,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,10,8,5,MEDIUM,,"6,7,7,6,6,6,6,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,10,9,7,MEDIUM,,"6,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,11,1,5,MEDIUM,,"6,7,7,6,6,6,6,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,11,2,1,MEDIUM,,"6,7,6,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,11,3,4,HIGH,,"7,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,11,4,8,MEDIUM,,"6,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,11,5,6,HIGH,,"7,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,11,6,2,MEDIUM,,"5,6,6,6,6,6,6,6,6,6",full,1,7,26,6,0,4,20,-1,0,24,0.8333333333333334,2.0
1,base,11,7,9,MEDIUM,,"7,7,6,6,7,7,7,7,6,7",limited,0,5,21,7,0,7,14,2,1,21,0.6666666666666666,2.0
1,base,11,8,7,MEDIUM,,"6,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,11,9,3,MEDIUM,,"4,5,5,6,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,12,1,8,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,12,2,4,HIGH,,"7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,12,3,9,MEDIUM,,"7,7,6,6,7,7,7,7,6,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,12,4,7,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,12,5,1,MEDIUM,,"6,7,6,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,12,6,3,MEDIUM,,"4,5,5,6,6,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,12,7,2,MEDIUM,,"5,6,6,6,6,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,12,8,5,MEDIUM,,"6,7,7,6,6,6,6,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,12,9,6,HIGH,,"7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,13,1,9,MEDIUM,,"7,7,6,6,7,7,7,7,6,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,13,2,6,HIGH,,"7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,13,3,8,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,13,4,2,MEDIUM,,"5,6,6,6,6,6,6,6,6,6,6,6",full,1,7,26,6,0,4,20,-1,0,24,0.8333333333333334,2.0
1,base,13,5,3,MEDIUM,,"4,5,5,6,6,6,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,13,6,4,HIGH,,"7,7,7,7,7,7,7,7,7,7,7,7",limited,0,5,21,7,0,7,14,2,1,21,0.6666666666666666,3.0
1,base,13,7,7,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,13,8,1,MEDIUM,,"6,7,6,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,13,9,5,MEDIUM,,"6,7,7,6,6,6,6,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,14,1,6,HIGH,,"7,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,14,2,4,HIGH,,"7,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,14,3,1,MEDIUM,,"6,7,6,7,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,14,4,8,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,14,5,9,MEDIUM,,"7,7,6,6,7,7,7,7,6,7,7,7,7",full,1,7,26,6,0,4,20,-1,0,24,0.8333333333333334,2.0
1,base,14,6,5,MEDIUM,,"6,7,7,6,6,6,6,7,7,7,7,7,7",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,14,7,2,MEDIUM,,"5,6,6,6,6,6,6,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,14,8,3,MEDIUM,,"4,5,5,6,6,6,6,6,6,6,6,6,6",limited,0,5,21,6,0,3,15,1,1,18,0.8333333333333334,2.0
1,base,14,9,7,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,15,1,7,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,2.0
1,base,15,2,3,MEDIUM,,"4,5,5,6,6,6,6,6,6,6,6,6,6,6",full,1,7,25,6,0,5,19,-1,0,24,0.7916666666666666,2.0
1,base,15,3,9,MEDIUM,,"7,7,6,6,7,7,7,7,6,7,7,7,7,6",limited,0,5,21,7,0,7,14,2,1,21,0.6666666666666666,2.0
1,base,15,4,5,MEDIUM,,"6,7,7,6,6,6,6,7,7,7,7,7,7,6",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,15,5,2,MEDIUM,,"5,6,6,6,6,6,6,6,6,6,6,6,6,6",full,1,7,25,6,0,5,19,-1,0,24,0.7916666666666666,2.0
1,base,15,6,8,MEDIUM,,"6,7,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
1,base,15,7,4,HIGH,,"7,7,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,26,7,0,9,19,0,1,28,0.6785714285714286,3.0
1,base,15,8,6,HIGH,,"7,7,7,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,3.0
1,base,15,9,1,MEDIUM,,"6,7,6,7,7,7,7,7,7,7,7,7,7,7",full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,2.0
2,base,1,1,4,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,2,1,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,3,8,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,4,6,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,5,9,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,6,2,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,7,3,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,8,7,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,1,9,5,NEW,,,full,1,7,25,7,0,10,18,0,1,28,0.6428571428571429,0.0
2,base,2,1,2,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,2,9,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,3,4,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,4,7,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,5,1,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,6,8,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,7,5,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,8,6,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,2,9,3,HIGH,7.0,7,full,1,8,30,8,0,10,22,0,1,32,0.6875,3.0
2,base,3,1,5,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,2,8,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,3,2,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,4,9,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,5,3,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,6,4,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,7,6,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,8,7,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,3,9,1,HIGH,7.5,"7,8",full,1,9,35,9,0,10,26,0,1,36,0.7222222222222222,3.0
2,base,4,1,3,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,2,7,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,3,9,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,4,5,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,5,8,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,6,2,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,7,1,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,8,4,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,4,9,6,HIGH,8.0,"7,8,9",full,1,10,40,10,0,10,30,0,1,40,0.75,3.0
2,base,5,1,9,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,2,5,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,3,1,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,4,8,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,5,2,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,6,7,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,7,3,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,8,6,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,5,9,4,HIGH,9.0,"8,9,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,6,1,4,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,2,6,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,3,8,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,4,2,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,5,7,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,6,9,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,7,5,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,8,3,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,6,9,1,HIGH,9.67,"9,10,10",full,1,10,50,10,0,0,40,0,1,40,1.0,3.0
2,base,7,1,7,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,2,1,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,3,9,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,4,3,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,5,4,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,6,8,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,7,6,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,8,5,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,7,9,2,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,1,6,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,2,3,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,3,8,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,4,1,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,5,9,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,6,7,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,7,2,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,8,4,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,8,9,5,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,1,2,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,2,5,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,3,9,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,4,7,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,5,6,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,6,1,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,7,8,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,8,3,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,9,9,4,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,10,1,3,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,10,2,9,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
2,base,10,3,2,HIGH,10.0,"10,10,10",full,1,10,45,10,0,5,35,0,1,40,0.875,3.0
